N,K,N2,CRC_for_ABP,DampFixed,SNR,testFrames,errorFrames,FER,BER,IT
128,96,15,12,0.06,3.50,377400,50,1.325000e-04,6.478000e-05,6.2830
128,96,15,12,0.06,4.00,3374200,50,1.482000e-05,7.301000e-06,5.0860
128,96,15,12,0.08,1.00,1000,182,1.820000e-01,9.103000e-02,74.9190
128,96,15,12,0.08,1.50,1000,89,8.900000e-02,4.458000e-02,43.2870
128,96,15,12,0.08,2.00,2100,53,2.524000e-02,1.303000e-02,19.2700
128,96,15,12,0.08,2.50,10600,50,4.717000e-03,2.395000e-03,9.5400
128,96,15,12,0.08,3.00,77400,50,6.460000e-04,3.191000e-04,6.2400
128,96,15,12,0.08,3.50,590700,50,8.465000e-05,4.070000e-05,4.9290
128,96,15,12,0.08,4.00,7540700,50,6.631000e-06,3.290000e-06,4.0060
128,96,15,12,0.10,1.00,1000,161,1.610000e-01,8.058000e-02,69.7370
128,96,15,12,0.10,1.50,1000,77,7.700000e-02,3.898000e-02,39.4950
128,96,15,12,0.10,2.00,2600,53,2.038000e-02,1.028000e-02,16.8920
128,96,15,12,0.10,2.50,12900,52,4.031000e-03,2.025000e-03,8.2030
128,96,15,12,0.10,3.00,105900,50,4.721000e-04,2.329000e-04,5.2860
128,96,15,12,0.10,3.50,819000,51,6.227000e-05,3.059000e-05,4.1250
128,96,15,12,0.10,4.00,9813800,50,5.095000e-06,2.494000e-06,3.3670
128,96,15,12,0.12,1.00,1000,155,1.550000e-01,7.778000e-02,68.5730
128,96,15,12,0.12,1.50,1000,68,6.800000e-02,3.398000e-02,36.1430
128,96,15,12,0.12,2.00,2800,50,1.786000e-02,8.988000e-03,14.9620
128,96,15,12,0.12,2.50,13000,50,3.846000e-03,1.959000e-03,7.4700
128,96,15,12,0.12,3.00,108600,50,4.604000e-04,2.251000e-04,4.6300
128,96,15,12,0.12,3.50,1038500,50,4.815000e-05,2.309000e-05,3.6050
128,96,15,12,0.12,4.00,10313700,50,4.848000e-06,2.395000e-06,2.9460
128,96,15,12,0.15,1.00,1000,158,1.580000e-01,7.954000e-02,69.9400
128,96,15,12,0.15,1.50,1000,57,5.700000e-02,2.872000e-02,33.9740
128,96,15,12,0.15,2.00,2900,51,1.759000e-02,8.962000e-03,14.4610
128,96,15,12,0.15,2.50,13000,50,3.846000e-03,1.941000e-03,6.8280
128,96,15,12,0.15,3.00,121600,50,4.112000e-04,2.027000e-04,4.0360
128,96,15,12,0.15,3.50,1265200,50,3.952000e-05,1.960000e-05,3.0970
128,96,15,12,0.15,4.00,12540600,50,3.987000e-06,1.992000e-06,2.5320
128,96,15,12,0.20,1.00,1000,161,1.610000e-01,8.041000e-02,70.6800
128,96,15,12,0.20,1.50,1000,76,7.600000e-02,3.785000e-02,38.9270
128,96,15,12,0.20,2.00,2200,51,2.318000e-02,1.171000e-02,15.0960
128,96,15,12,0.20,2.50,14300,51,3.566000e-03,1.774000e-03,6.5380
128,96,15,12,0.20,3.00,113300,50,4.413000e-04,2.185000e-04,3.5760
128,96,15,12,0.20,3.50,1071000,50,4.669000e-05,2.300000e-05,2.6320
128,96,15,12,0.20,4.00,14563600,50,3.433000e-06,1.714000e-06,2.1310
